scene_idx,v2i_network,n_vehicles,chosen_leader,is_leader,vehicle_id,queue_length,t_pair_avg_s,t_fuse_avg_s,D_hat_proc_s,D_hat_v2i_s,D_hat_total_s
17,3G,3,0,False,1,0,0.003141780578584806,0.0010775461382236053,0.007361107295393217,0.32521614499999996,0.3325772522953932
17,3G,3,0,False,2,1,0.002951613864913172,0.0009790610458358785,0.009833902640575395,0.32521614499999996,0.33505004764057533
18,3G,3,1,False,0,2,0.0028738661548205783,0.00103553463865355,0.012530999257935863,0.32521614499999996,0.33774714425793584
18,3G,3,1,True,1,1,0.0028414753761197295,0.0009717922713123872,0.009496218399671576,0.32521614499999996,0.33471236339967153
18,3G,3,1,False,2,2,0.002990995632499796,0.001023895512156804,0.012987878042155987,0.32521614499999996,0.33820402304215597
19,3G,3,1,False,0,1,0.0029285576919696682,0.0010092228600676776,0.009794895935976683,0.32521614499999996,0.33501104093597667
19,3G,3,1,True,1,0,0.0030608971967990245,0.0008734080777483468,0.006995202471346396,0.32521614499999996,0.33221134747134634
19,3G,3,1,False,2,1,0.0029796775496315894,0.000913154068062058,0.009852186716956826,0.32521614499999996,0.33506833171695677
0,3G,5,0,True,0,1,0.003128374084344072,0.0009894954518204155,0.016631365873540773,0.418061315,0.43469268087354074
0,3G,5,0,False,1,2,0.0029650891159800187,0.0011737132921111717,0.018964247987991286,0.418061315,0.4370255629879913
0,3G,5,0,False,2,2,0.0029826005657958314,0.0010362662287087747,0.01893186962348376,0.418061315,0.43699318462348374
0,3G,5,0,False,3,2,0.0029074098243350487,0.0008482577374448148,0.01829271668345511,0.418061315,0.4363540316834551
0,3G,5,0,False,4,2,0.003276249876168909,0.0009964346512546685,0.020653933908268123,0.418061315,0.43871524890826813
1,3G,5,1,False,0,2,0.00303947220049943,0.0010465073852838167,0.019283340588280396,0.418061315,0.4373446555882804
1,3G,5,1,True,1,1,0.0027789161601458117,0.0008407973998496059,0.014735378200578665,0.418061315,0.4327966932005787
1,3G,5,1,False,2,1,0.002980968600673143,0.0010367861532468037,0.01594162915661252,0.418061315,0.4340029441566125
1,3G,5,1,False,3,2,0.00277537573526855,0.0009231583198787672,0.017575412731490065,0.418061315,0.43563672773149004
1,3G,5,1,False,4,2,0.0031097533778869997,0.0010166848930333813,0.01967520516035538,0.418061315,0.43773652016035536
2,3G,5,0,True,0,0,0.002930790658391727,0.0009695221037535411,0.012692684737320449,0.418061315,0.4307539997373204
2,3G,5,0,False,1,2,0.003184653206445618,0.0011003482632420017,0.02020826750191571,0.418061315,0.4382695825019157
2,3G,5,0,False,2,1,0.003175004062305379,0.0010314492498008255,0.01690646956132772,0.418061315,0.43496778456132773
2,3G,5,0,False,3,0,0.0032963343271744635,0.000984917984409656,0.01417025529310751,0.418061315,0.4322315702931075
2,3G,5,0,False,4,1,0.0030596142259894455,0.001074496312017925,0.016372567441965153,0.418061315,0.4344338824419651
3,3G,5,1,False,0,1,0.0029213931043373534,0.0009970574537921742,0.015604022975478941,0.418061315,0.4336653379754789
3,3G,5,1,True,1,0,0.003152510431359161,0.0009676107274155909,0.013577652452852234,0.418061315,0.43163896745285224
3,3G,5,1,False,2,1,0.0030311471306848476,0.0009717578771431216,0.01612749353056736,0.418061315,0.43418880853056735
3,3G,5,1,False,3,1,0.0029336847474413603,0.0009095976526847596,0.015578021389891563,0.418061315,0.43363933638989155
3,3G,5,1,False,4,2,0.0030516095376292734,0.0010551532681032203,0.01936481049387886,0.418061315,0.4374261254938788
4,3G,5,2,False,0,1,0.003431945291189894,0.0010851214298037847,0.018244847885753254,0.418061315,0.43630616288575325
4,3G,5,2,False,1,2,0.003089458410759636,0.0009441909619389455,0.019480941426496763,0.418061315,0.43754225642649675
4,3G,5,2,True,2,0,0.002990170145084978,0.0009039959029964947,0.012864676483336408,0.418061315,0.4309259914833364
4,3G,5,2,False,3,1,0.002985471568286184,0.0009521244305387758,0.015879482271969697,0.418061315,0.43394079727196966
4,3G,5,2,False,4,1,0.0027880527052260365,0.0008569553554369124,0.014797218881567095,0.418061315,0.4328585338815671
5,3G,5,0,True,0,0,0.0029763433471587846,0.0009893344446967392,0.012894707833331878,0.418061315,0.43095602283333184
5,3G,5,0,False,1,0,0.00315323310187639,0.0009610442770923453,0.013573976684597906,0.418061315,0.4316352916845979
